NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT01007279,Rosuvastatin in Preventing Myonecrosis in Elective Percutaneous Coronary Interventions (PCIs),https://clinicaltrials.gov/study/NCT01007279,ROMA,COMPLETED,"An increase in cardiac biomarkers has been shown to occur in 5% to 30% of patients after otherwise successful percutaneous coronary interventions (PCIs)(1) Apart from side-branch occlusion, intimal dissection and coronary spasm, a possible aetiology of myonecrosis after PCI might be distal embolization of atherogenic materials from plaque disruption,(2 )causing obstruction of blood flow at capillary level resulting in micro-infarction.(3,4 )Recent studies have suggested that pretreatment with Atorvastatin may be associated with a reduction in infarct size after elective PCI. (5-7 ).Actually the standard pretreatment in patients undergoing elective coronary-PCI and already treated with aspirin is copidogrel loading dose administration before procedure.(8,9 ) The investigators hypothesized that a high (40mg) loading dose of Rosuvastatin administered within 24h before the procedure may be effective in reducing the rate of periprocedural MI.Therefore, the investigators will conduct a single center,prospective randomized study to assess whether a single,high (40mg) loading (within24h)dose of Rosuvastatin is effective in preventing elevation of biomarkers of MI after elective coronary stent implantation.",NO,Periprocedural Myocardial Necrosis,DRUG: ROSUVASTATIN,"Myocardial enzymes arise, 6-12-24 hours","MACE, 1-6-9 MONTHS",,University of Roma La Sapienza,,ALL,"ADULT, OLDER_ADULT",PHASE3,160,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ROMA55,2010-03,2010-09,2010-09,2009-11-04,,2010-10-26,"Policlinico Umberto I, Rome, 00166, Italy",
NCT06562582,STunning in Acute Myocardial Infarction - BAS,https://clinicaltrials.gov/study/NCT06562582,STAMI-BAS,RECRUITING,"The objective of this trial is to examine the effect of immediate versus late administration of beta blockers, angiotensin converting enzyme inhibitors (ACEI), and sodium/glucose cotransporter 2 (SGLT2) inhibitors on echocardiographic parameters and biomarkers in subjects with ST-elevation myocardial infarction (STEMI)",NO,Myocardial Infarct,DRUG: Bisoprolol Oral Tablet|DRUG: Ramipril Oral Product|DRUG: Dapagliflozin Oral Product,"Measurement of Global longitudinal strain (GLS, %), GLS adjusted for baseline., day 7±24 hours","Measurement of Left ventricular ejection fraction (LVEF), LVEF adjusted for baseline, day 7±24 hours|Measurement of NT-proBNP (N-terminal pro b-type natriuretic peptide ), NT-proBNP adjusted for baseline, day 7±24 hours|Concentration of cardiac troponin-T, Area under the curve, Day 30|Concentration of cardiac troponin-I, Area under the curve, Day 30","Measurement of Infarct size, MI size assessed by CMRI (sub-study), Day 30",Vastra Gotaland Region,,ALL,"ADULT, OLDER_ADULT",PHASE4,120,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: TREATMENT,2024-511789-35-00,2025-01-06,2027-12-31,2027-12-31,2024-08-20,,2025-06-27,"Sahlgrenska University Hospital, Gothenburg, 41345, Sweden",
NCT02967965,CARdioprotection in Myocardial Infarction,https://clinicaltrials.gov/study/NCT02967965,CARIM,ACTIVE_NOT_RECRUITING,"CARIM is a prospective cohort of 2,000 patients with a first myocardial infarction and undergoing reperfusion therapy. Therefore, male and female patients older than 18 years and younger than 90 years with onset of chest pain of less than 12 hours who need a primary percutaneous coronary intervention (PCI) for a ST elevation segment MI (STEMI) will be recruited.",NO,Myocardial Infarct,OTHER: Imagery,"Determinants of myocardial infarct injury, 5 years",,,EZUS-LYON 1,,ALL,"ADULT, OLDER_ADULT",,2000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,CARIM,2013-11-30,2022-12-31,2024-12-31,2016-11-18,,2024-02-29,"CHRU de Tours, Tours, Indre Et Loire, 37044, France|Hôpital Mondor, Créteil, Rhône, 94010, France",
NCT02376244,The Health Impact of High Intensity Exercise Training With Intervals During Cardiac Rehabilitation,https://clinicaltrials.gov/study/NCT02376244,,COMPLETED,"Cardiac rehabilitation is a program designed to help patients regain good health through lifestyle change after a heart attack, heart surgery or other heart problems. Patients will take part in exercise sessions and education lessons, tailored to meet their personal needs. The exercise training component of cardiac rehabilitation may be delivered as intervals of short intense sessions (also known as high intensity intervals) or the current standard care of longer but less intense sessions (moderate intense intervals). Both exercises have been shown to increase fitness levels and also prevent future risk of heart disease.

The purpose of this study is to determine the efficacy and safety of high intensity interval exercise training (HIIT) in patients who had a recent cardiac revascularization procedure or recovering from a heart attack, in comparison to current standard of moderate intensity exercise training in terms of their physical fitness and psychological well-being.",NO,Heart Disease|Heart Attacks,OTHER: High intensity interval training (HIIT)|OTHER: Standard care,"Changes in Heart Rate Variability (as measured by a hemodynamic monitoring system), The primary outcome is the difference in heart rate variability between baseline and 8 weeks after the start of the intervention measured using finger photoplethysmography, Change from baseline in heart rate variability at 8 weeks after the start of the intervention","Changes in Baroreflex Sensitivity (as measured by a hemodynamic monitoring system), This is the difference in heart rate variability between baseline and 8 weeks after the start of intervention measured using finger photoplethysmography, Change from baseline in baroreflex sensitivity at 8 weeks after the start of the intervention|Changes in Peak Oxygen Uptake (as measured by a submaximal exercise test), Submaximal Cardiopulmonary Exercise Testing will be performed to measure changes in peak oxygen uptake between baseline and 8 weeks after the start of the intervention, Changes in peak oxygen uptake between baseline and 8 weeks after the start of intervention|Changes in Enjoyment of Exercise (as measured by a questionnaire), Changes in pleasure and displeasure, affect, arousal between baseline and 8 weeks after the start of intervention will be assessed by using a ""Feelings Scale"", ""Felt Arousal Scale"", ""Physical Activity Enjoyment Scale"" respectively., Changes in perception of enjoyment of exercise at between baseline and 8 weeks after the start of intervention|Changes in health-related Quality of Life (as measured by a questionnaire), Changes in health-related quality of life between baseline and 8 weeks after the start of intervention will be measured by completion of MacNew Quality of Life questionnaires, Changes in health-related quality of life between baseline and 8 weeks after the start of intervention|Changes in Rating of Perceived Exertion (as measured by a scale), Ratings of perceived exertion (RPE) allow the intensity of exercise to be determined subjectively on a scale of 6-20. Changes in RPE scales will be assessed at start of each workout as part of service protocol to gauge patient effort, fatigue and muscular discomfort and the differences between baseline and 8 weeks after start of intervention will be determined. At the end of each session, patients will be expected to submit an overall session RPE of how they perceived the entire exercise session (Kilpatrick et al. 2014)., Changes in the rating of perceived exertion between baseline and 8 weeks after start of intervention","Changes in reported incidents of acute pain (as measured by a visual analogue scale), Pain is a contributing factor to the displeasure experienced during some exercise (Ekkekakis et al. 2012). For this reason participants will be required to complete a visual analogue scale to quantify any pain during the sessions. Changes in perception of pain will assessed between baseline and 8 weeks after the start of intervention., Changes between baseline incidents of acute pain and 8 weeks after start of intervention",Liverpool Heart and Chest Hospital NHS Foundation Trust,Edge Hill University,ALL,"CHILD, ADULT, OLDER_ADULT",NA,34,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,SP 006 - HIIT,2015-09,2016-03,2016-06,2015-03-03,,2016-08-18,"Liverpool Heart and Chest Hospital, Liverpool, L14 3PE, United Kingdom",
NCT01586975,Aspirin Resistance and Stroke Risk: Platelet Function Analysis in Patients With Ischemic Events,https://clinicaltrials.gov/study/NCT01586975,,COMPLETED,The purpose of this study is to determine if PFA results correlate with ischemic event outcomes as well as bleeding complications. Hypothesis is antiplatelet agents will be more efficacious if they are administered in a dose-adjusted manner using PFA results as a guide.,YES,Stroke|Myocardial Infarctions,DRUG: Clopidogrel|DRUG: Aspirin 81 mg|DRUG: Aspirin >300 mg,"PFA1, Platelet Function Analysis (PFA) lab results: PFA was performed using the PFA 100 device (Dade-Behring), which uses a higher sheer stress flow cytometry paradigm to measure the time in seconds to closing of an aperture. Normal is defined as \<172 seconds."", 3-6 months (Collected once between regulalary scheduled follow-up visit between 3-6 months)",,,Northwestern University,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,93,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,Aspirin Resistance and Stroke|IRB#0996-007 FUND#7810,2007-07,2010-04,2011-12,2012-04-27,2015-12-03,2015-12-31,"Northwestern University, Chicago, Illinois, 60611, United States",
NCT01179776,Ilomedin Treatment for Patients Having Undergone Primary Percutaneous Coronary Intervention (PCI),https://clinicaltrials.gov/study/NCT01179776,,COMPLETED,"Acute myocardial infarct patients with STEMI (ST-elevation on ECG) whom undergo a primary percutaneous cardiac intervention will following the standard treatment , received low dose of Ilomedin and to low dose of standard treatment for another 24 hours.",NO,Myocardial Infarct,DRUG: Ilomedin|DRUG: Placebo|DRUG: Ilomedin|DRUG: Ilomedin and standard low dose treatment,"Bleeding complications as evaluated by TIMI and GUSTO criteria, Increased bleeding complications will be evaluated between the active and placebo groups., Feb 2011","Endothelial markers and blood aggregation (measured by TEG and multiplate), Endothelial markers will be measured to evaluate the Ilomedin effect on these patients. Blood aggregation and coagulation will be evaluated by using TEG and Multiplate., Feb 2011",,Thrombologic ApS,"Lene Holmvang|Rigshospitalet, Denmark",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,16,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,THR-PS-02,2010-09,2011-05,2011-06,2010-08-11,,2011-06-02,"Lene Holmvang, Copenhagen, 2100, Denmark",
NCT01264783,Safety and Tolerability of RNS60 Given by IV to Healthy Subjects,https://clinicaltrials.gov/study/NCT01264783,,COMPLETED,The objective of this study is to evaluate the safety and tolerability of RNS60 administered intravenously to healthy subjects. 12 subjects will receive RNS60 or placebo at three escalating rates for 48 hours for each rate.,NO,Myocardial Infarct,DRUG: RNS60|DRUG: Placebo,"Tolerability, Safety and tolerability of RNS60 administered by IV infusion to healthy volunteers., 6 days","Biomarkers, Analysis of blood samples for various biomarkers, 6 days",,Revalesio Corporation,,MALE,ADULT,PHASE1,12,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",11.1.1.H1,2011-07,2011-09,2011-09,2010-12-22,,2011-10-04,"Quintiles, Inc., Overland Park, Kansas, 66211, United States",
NCT01228227,ROsuvastatin Pretreatment to Reduce MyocArdial Periprocedural Necrosis:Comparison With Atorvastatin Reloading,https://clinicaltrials.gov/study/NCT01228227,ROMAIIReload,COMPLETED,"An increase in cardiac biomarkers has been shown to occur in 5% to 30% of patients after otherwise successful percutaneous coronary interventions (PCIs)(1) Apart from side-branch occlusion, intimal dissection and coronary spasm, a possible aetiology of myonecrosis after PCI might be distal embolization of atherogenic materials from plaque disruption,(2 )causing obstruction of blood flow at capillary level resulting in micro-infarction.(3,4 )Recent studies have suggested that pretreatment with Atorvastatin may be associated with a reduction in infarct size after elective PCI. (5-7 ). Actually the standard pretreatment in patients undergoing elective coronary-PCI and already treated with aspirin is clopidogrel loading dose administration before procedure.(8,9)The investigators compared a high (80mg) re-loading dose of Atorvastatin with a high loading dose of Rosuvastatin (40 mg) both administered within 24h before the procedure in reducing the rate of periprocedural MI. Therefore, the investigators will conduct a single center, prospective randomized study to assess whether a single, high (80mg) loading (within 24h)dose of Atorvastatin compared with a single loading dose of Rosuvastatin (20 mg) is effective in preventing elevation of biomarkers of MI after elective coronary stent implantation. We evaluate the incidence of MACCE(occurring of cardiac death, myocardial infarction (including periprocedural myonecrosis) and stroke at 30 days 6 and 12 month follow-up.",NO,Assess the Periprocedural Myocardial Necrosis,DRUG: ATORVASTATIN 80 mg|DRUG: ROSUVASTATIN 40 mg,"Myocardial enzymes arise, 12- 24 hours","MACCE, 1-6-12 Months",,Gennaro Sardella,,ALL,"ADULT, OLDER_ADULT",PHASE3,310,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ROMA II,2010-10,2011-04,2011-08,2010-10-26,,2013-01-04,"Policlinico Umberto I, Roma, Roma, Italy",
NCT01043991,"Intracoronary Injection of Epo After Myocardial Infarct ""Intra-CO-EpoMI""",https://clinicaltrials.gov/study/NCT01043991,,COMPLETED,"Primary endpoint: Is intracoronary injection of a single dose of darbepoetin alpha, during reperfusion in patients hospitalized for ST segment elevation myocardial infarction (STEMI), able to reduce infarct size ?

In in vivo studies, many experiments evidenced infarct size reduction, due to anti-apoptotic compounds, when given during reperfusion, after cardiac ischemia. In humans, post-conditioning offers such a protection, as the investigators have previously showed (Staat P et al. Post-conditioning the human heart. Circulation. 2005 112(14):2143-8).

Infarct size reduction could lead to a reduced rate of complications (heart failure, rhythmic complications) and finally, morbidity and even mortality. This protection depends on anti-apoptotic properties (Zhao ZQ et al. Inhibition of myocardial injury by ischemic postconditioning during reperfusion: comparison with ischemic preconditioning. Am J Physiology Heart Circ Physiology 2003 Aug; 285(2):H579-88). Many drugs have been proposed to be able to mimic this phenomenon. Among them, many are efficient but toxic in vivo or difficult to manage (insulin, morphin). One of the most promising agent could then be erythropoietin (EPO) (Opie LH et al. Postconditioning for protection of the infarcting heart. Lancet. 2006; 367(9509):456-8). In order to target ischemia-reperfusion injuries, EPO impact is better and better demonstrated (e.g.: Mudalagiri NR. Erythropoietin protects the human myocardium against hypoxia and reoxygenation injury via phosphatidylinositol-3 kinase and ERK1-2 activation. Br J Pharmacol. 2007 Oct 22). The purpose of the study is to test this hypothesis in humans, on the onset of the reperfusion, after myocardial ischemia (acute myocardial infarct). EPO could contribute to protect myocardium against ischemia-reperfusion injury. This impact could rely on anti-apoptotic properties.",NO,Acute Myocardial Infarct,DRUG: Darbepoetin alfa|DRUG: Placebo,"Magnetic resonance imaging (MRI) determination of infarct size, 12 weeks","Cardiac enzymes, 12 weeks|Echocardiography, 12 weeks",,"University Hospital, Montpellier",,ALL,"ADULT, OLDER_ADULT",PHASE3,54,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,8042,2008-12,2010-07,2011-10,2010-01-07,,2016-06-01,"Montpellier University Hospital, Montpellier, 34000, France",
NCT00237471,Impact of Tight Glycaemic Control in Acute Myocardial Infarction,https://clinicaltrials.gov/study/NCT00237471,,TERMINATED,To determine whether tight glycaemic control with insulin improves myocardial function and myocardial perfusion (measured by myocardial contrast echocardiography) and novel vascular risk factors in patients with acute myocardial infarction and hyperglycaemia.,NO,Myocardial Infarct|Hyperglycemia,DRUG: Insulin (tight blood glucose control),"Difference in the change in wall motion score index between admission, day 3-5 and after 3 months in the two treatment arms.","Changes in inflammatory/endothelial markers and myocardial perfusion from admission, day 3-5 and after 3 months between the two treatment arms",,Melbourne Health,"National Health and Medical Research Council, Australia|Bristol-Myers Squibb",ALL,"ADULT, OLDER_ADULT",PHASE4,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2004.116|GEENA,2005-10,2006-05,2006-05,2005-10-12,,2011-07-21,"The Royal Melbourne Hospital, Melbourne, Victoria, 3050, Australia",
