NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02648971,Controlled Trial to Compare Single Versus Two Portal Knee Arthroscopy Techniques,https://clinicaltrials.gov/study/NCT02648971,,TERMINATED,"This randomized, controlled clinical trial will compare the outcomes of single portal versus two portal techniques in patients who have meniscus or articular cartilage pathology. The study hypothesis is that patients who undergo single portal arthroscopy will have less pain post-operatively, use less pain medication, and have a higher International Knee Documentation Committee (IKDC) score at six months and one year compared to patients who undergo traditional two portal knee arthroscopy.",YES,"Injuries, Knee",PROCEDURE: Single Portal Knee Arthroscopy|PROCEDURE: Two Portal Knee Arthroscopy,"IKDC (International Knee Documentation Committee) Score, IKDC subjective knee evaluation form scores range from 0 points (lowest level of function or highest level of symptoms) to 100 points (highest level of function and lowest level of symptoms)., Baseline|IKDC Score, IKDC subjective knee evaluation form scores range from 0 points (lowest level of function or highest level of symptoms) to 100 points (highest level of function and lowest level of symptoms)., 30 days|IKDC Score, IKDC subjective knee evaluation form scores range from 0 points (lowest level of function or highest level of symptoms) to 100 points (highest level of function and lowest level of symptoms)., 3 Months|IKDC Score, IKDC subjective knee evaluation form scores range from 0 points (lowest level of function or highest level of symptoms) to 100 points (highest level of function and lowest level of symptoms)., 6 Months|IKDC Score, IKDC subjective knee evaluation form scores range from 0 points (lowest level of function or highest level of symptoms) to 100 points (highest level of function and lowest level of symptoms)., 12 Months","Pain Levels, Pain levels will also be collected at the 1 and 4 day telephone calls. Range 0 - 10, higher scores denotes worse outcomes, Days 1 and 4|Number of Participants That Required the Use of Pain Medication, Days 1 and 4|Number of Participants That Required the Use of Narcotics, Days 1 and 4",,Wake Forest University Health Sciences,,ALL,"ADULT, OLDER_ADULT",NA,36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,IRB00030774,2016-01,2018-05-31,2018-05-31,2016-01-07,2020-12-30,2020-12-30,"Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, 27157, United States","Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/71/NCT02648971/ICF_000.pdf|Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/71/NCT02648971/Prot_SAP_001.pdf"
NCT01689337,A Multicenter Trial of Sprifermin (AS902330 [Recombinant Human Fibroblast Growth Factor-18]) or Placebo After Microfracture Surgery for Cartilage Injury of the Knee,https://clinicaltrials.gov/study/NCT01689337,,TERMINATED,"This is a Phase 2, double-blind, multicenter, randomized, placebo-controlled trial to evaluate the efficacy and safety of Sprifermin (AS902330) (recombinant human fibroblast growth factor-18 \[rhFGF-18\]) as an adjunct treatment to subjects following microfracture (MFx) surgery for cartilage injury of the knee.

Primary Objectives

* To evaluate the effect of Sprifermin (AS902330) intra-articular knee injections as adjunct to microfracture (MFx) surgery on the composition of the refilled cartilage in the target knee, as measured by gadolinium-enhanced magnetic resonance imaging (MRI) of cartilage (dGEMRIC) time constant 1 (T1) relaxation time at 6 months after MFx surgery
* To evaluate the safety profile of Sprifermin (AS902330) when administered intra-articular into the knee as adjunct to MFx surgery in subjects with cartilage injury of the knee

Secondary Objectives

* To further support the efficacy and safety of Sprifermin (AS902330) as an adjunct to MFx for cartilage injury repair through symptomatic outcomes and quantitative MRI measurement",YES,Cartilage Injury of Knee,DRUG: Sprifermin (AS902330)|DRUG: Sprifermin (AS902330)|DRUG: Placebo,"Composition of the Refilled Cartilage Measured by Delayed Gadolinium-Enhanced Magnetic Resonance Imaging of Cartilage (dGEMRIC) Using T1 Relaxation Time at Month 6 Post-MFx Surgery, The dGEMRIC is an imaging technique that estimates the proteoglycan (and glycosaminoglycan) content of joint cartilage using spin-lattice relaxation time T1 after penetration of gadolinium contrast agent. Composition of the refilled cartilage was to be reported., 6 months post-MFx surgery","Composition of the Refilled Cartilage Measured by dGEMRIC Using T1 Relaxation Time Beyond Month 6 Post-MFx Surgery, The dGEMRIC is an imaging technique that estimates the proteoglycan (and glycosaminoglycan) content of joint cartilage using spin-lattice relaxation time T1 after penetration of gadolinium contrast agent. Composition of the refilled cartilage was to be reported., Every 6 months up to 5 years beyond 6 months post-MFx surgery|Change From Baseline in Participant-reported Outcome Measure: Knee Injury and Osteoarthritis Outcome Score (KOOS) Sub-scores for Pain and Activities of Daily Living (ADL), The KOOS Version LK1.0 is a knee-specific self-administered questionnaire used to assess pain, function, quality of life, and ADL. It consists of 42 items grouped into 5 subscales: pain, other symptoms (including swelling, restricted range of motion, and mechanical symptoms), function in ADL, function in sport and recreation (FSR), and impact on quality of life (QOL) (knee-related QOL, including awareness of the knee condition and changes in lifestyle). The subscales are scored separately; each yields a score between 0 and 100, with 0 representing extreme knee problems and 100 representing absence of problems. Total KOOS score is the average of all 5 subscale scores; ranging from 0 to 100; where 0 represents extreme knee problems and 100 represents absence of knee problems. Change from baseline in pain and ADL sub-scores was to be calculated by the respective scores at the specific time point minus the scores at baseline., Every 6 months up to 5 years|Change From Baseline in Participant-reported Outcome Measure: Total KOOS Score, Three KOOS Sub-scores and Total KOOS Minus FSR Sub-score, The KOOS Version LK1.0 is a knee-specific self-administered questionnaire used to assess pain, function, quality of life, and ADL. It consists of 42 items grouped into 5 subscales: pain, other symptoms (including swelling, restricted range of motion, and mechanical symptoms), function in ADL, FSR, and impact on QOL (knee-related QOL, including awareness of the knee condition and changes in lifestyle). The subscales are scored separately; each yields a score between 0 and 100, with 0 representing extreme knee problems and 100 representing absence of problems. Total KOOS score is the average of all 5 subscale scores; ranging from 0 to 100; where 0 represents extreme knee problems and 100 represents absence of knee problems. Change from baseline in total KOOS score; other symptoms, knee-related QOL, and FSR sub-scores; and total KOOS minus FSR sub-score was to be calculated by the respective scores at the specific time point minus the scores at baseline., Every 6 months up to 5 years|Change From Baseline in Participant-reported Outcome Measure: Numeric Rating Scale (NRS) Score, Knee pain was to be rated by the participant using an 11-point NRS of pain intensity. The NRS is scaled from 0 (no pain) to 10 (worst possible pain). Change from baseline in NRS score was to be calculated by the score at the specific time point minus the score at baseline., Every 6 months up to 5 years|Change From Baseline in Participant-reported Outcome Measure: Lower Extremity Activity Scale (LEAS) Score, The LEAS is an 18-level single-question self-administered scale that has been validated as a clinical outcome measure for the assessment of participants' actual activity levels. The LEAS is scaled from 1 to 18, with 18 indicating levels of highest activity. Change from baseline in LEAS score was to be calculated by the score at the specific time point minus the score at baseline., Every 6 months up to 5 years|Change From Baseline in the Physician-reported Outcome Measure: Lysholm Knee Scale Score, The Lysholm knee scale is a physician-reported outcome measure to assess knee function after ligament injury. It is scaled from 0 to 100 with higher scores representing better function. Change from baseline in Lysholm knee scale score was to be calculated by the score at the specific time point minus the score at baseline., Every 6 months up to 5 years|Composition of the Refilled Cartilage Using T2 Mapping, The transverse relaxation time T2 mapping is an MRI technique that is able to evaluate collagen organization and orientation within cartilage. Composition of the refilled cartilage was to be reported., Every 6 months up to 5 years|Volume of the Refilled Cartilage, Volume of the refilled cartilage was to be measured by MRI., Every 6 months up to 5 years|Magnetic Resonance Observation of Cartilage Repair Tissue (MOCART) Score, The MOCART score is used to describe the constitution of the cartilage repair tissue and the surrounding structures., Every 6 months up to 5 years|Six-minute Walk Test, Six (6)-minute walk test is used to measure gait function and for pre- and post-operative evaluation in cartilage injury repair. Maximum comfortable distance (in meters) that a participant can walk in 6 minutes was to be reported., Every 3 months up to 5 years beyond Month 6 post-MFx surgery|Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs), An AE was defined as any new untoward medical occurrences/worsening of pre-existing medical condition without regard to possibility of causal relationship. An SAE is an AE that results in any of the following outcomes: death; life threatening; persistent/significant disability/incapacity; initial or prolonged inpatient hospitalization; congenital anomaly/birth defect., Baseline up to Month 60",,EMD Serono,,ALL,ADULT,PHASE2,1,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",EMR700692-007|2012-001431-31,2013-04,2013-10,2013-10,2012-09-21,2015-08-31,2017-01-13,,
NCT03932838,Descriptive Study of Multiligamentary Reconstruction of the Knee,https://clinicaltrials.gov/study/NCT03932838,,UNKNOWN,"Evaluation of clinical results and postoperative laxity after single-stage reconstruction of multiligamentous lesions of the knee. Comparison of two types of transplant: allograft versus autograft.

There is currently little data in the clinical outcome literature after allograft reconstruction. There is one study reporting postoperative laxity assessed by dynamic radiography in the four planes (anterior, posterior, varus, valgus). No study compares postoperative laxity after allograft versus autograft reconstruction.",NO,"Injury, Knee",OTHER: Clinical and radiologic evaluation,"Joint mobility of both knees, Postoperative knee function assessed by clinical examination, 2 years|Postoperative laxity in varus, valgus, anterior and posterior drawer, Postoperative knee function assessed by clinical examination, 2 years|Postoperative knee function assessed by scores, 2 years",,,Versailles Hospital,,ALL,"ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,P17/12_ Reconstruction,2017-12-01,2019-12-01,2020-06-01,2019-05-01,,2019-05-01,"CH de Versailles, Le Chesnay, France",
NCT04869566,External Stressors Prior to Traumatic Knee Injury in Youth Athletes.,https://clinicaltrials.gov/study/NCT04869566,,COMPLETED,"The aim of this study is to evaluate different aspects of mental stress aspects and its role as a potential risk factor for traumatic knee injury in youth athletes. Approximately 300 athletes (age 16-19) 50% women) who are involved in high risk sports (soccer, handball and floorball) will be included. The athletes will record his/hers traumatic knee injury together with information about training regimes and some details on injury mechanism on a web-based form. The form also includes questions about mental stressors, such as club exchange, changed game system in addition to conflict within and outside the family, etc, prior to injury.

The present study will contribute new knowledge on levels of muscle function and different aspects of mental stress factors that may be related to traumatic knee injury in young athletes.",NO,Traumatic Knee Injury,,"Number of participants that had occurred an injury during the last year, Data on injury are collected retrospectively using a web-designed (SurveyMonkey®) registration form., 12 months|Number of participants with one ore several mental stressors related to environmental and social conditions, Mental stressors, such as club exchange, changed game system, conflict within the family, examination at school etc will be recorded using a questionnaire., 12 months",,,Linnaeus University,,ALL,"CHILD, ADULT",,329,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-02609,2020-06-01,2021-06-01,2021-08-01,2021-05-03,,2021-09-22,"Sofia Ryman Augustsson, Kalmar, 391 82, Sweden",
NCT03202901,Accute Effect of B-Turmactive Both on Mild and Moderate Knee Pain on Healthy Volunteers,https://clinicaltrials.gov/study/NCT03202901,TURMACTIVE,COMPLETED,The goal of this study is to assess the short (acutte) effect of B-Turmactive (one week treatment) both on mild/moderate knee pain,NO,Knee Injuries|Inflammation Knees,DIETARY_SUPPLEMENT: B-turmactive|DIETARY_SUPPLEMENT: Placebo,"Change in WOMAC pain subscale, Visual analogue scale of 5 items derived from 24 items WOMAC scale, 1 week (day 1; day 3; day 7)","Anthropometric data, Trained dieticians measure weight and body composition using a body composition analyzer (Tanita SC 330-S; Tanita Corp., Barcelona, Spain) and height using a well mounted stadiometer (Tanita Leicester Portable; Tanita Corp., Barcelona, Spain), to calculate BMI: weight/height x height (kg/m2).

Waist circumference (cm) is measured midway between the lowest rib and the iliac crest using an anthropometric tape., 1 week (day 1;day 7)|Biochemistry for on-going study control, Aspartate aminotransferase (AST) (IU/L), Alanine aminotransferase (ALT) (IU/L), Tryglycerides (mg/dL), total Cholesterol (mg/dL), High-density lipoprotein cholesterol (HDL-c) (mg/dL), Low-density lipoprotein cholesterol (LDL-c) (mg/dL) and Glucose (mg/dL).

Total cholesterol, HDL-c, Tryglicerides, AST, ALT and glucose are measured in serum by standardized enzymatic automated methods in a PENTRA-400 autoanalyzer (ABX-Horiba Diagnostics, Montpellier, France). LDL-c is calculated by the Friedewald formula., 1 week (day 1;day 7)|Inflammatory markers, C reactive protein (mg/dL), IL-1β (ng/mL), IL-6 (ng/mL), Prostaglandin E metabolite (PGEM) (ng/mL) are measured in serum and determined by standardized methods in a Cobas Mira Plus autoanalyzer (Roche Diagnostics Systems, Madrid, Spain) or using a specific ELISA kit., 1 week (day 1;day 7)",,"Technological Centre of Nutrition and Health, Spain",Hospital Universitari Sant Joan de Reus|University Rovira i Virgili,ALL,"ADULT, OLDER_ADULT",NA,70,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",B-TURMACTIVE,2017-09-19,2017-12-19,2017-12-19,2017-06-29,,2022-03-02,"Technological Center of Nutrition and Health (CTNS), Reus, 43204, Spain",
NCT00687921,F18-Flouride PET/CT in Acute Knee Injury,https://clinicaltrials.gov/study/NCT00687921,,UNKNOWN,"18F-fluoride is a positron-emitting bone-seeking agent with favorable pharmacokinetic properties. Its uptake mechanism resembles that of 99mTc-MDP. After IV administration, 18F-fluoride diffuses through the bone capillaries into the bone extracellular fluid (ECF). Its plasma clearance is more rapid than that of 99mTc-MDP and its single-passage extraction efficiency is higher. The fast blood clearance of 18F-fluoride results in a better target- to- background ratio. Bone uptake of 18F-fluoride is two-fold higher than that of 99mTc-MDP. Combining the favorable pharmacokinetic characteristics of 18F-fluoride with the high performance of PET technology, 18F-fluoride is a valuable imaging modality of the skeleton.

There are only few manuscripts on the role of static 18F-fluoride PET for detection of lesions in patients referred for non-oncologic indications The purpose of the study is to prospectively assess the added value of Fluoride PET/CT in the clinical setting of acute knee injury. The findings of Fluoride PET/CT will be correlated with those found on arthroscopy and MRI which the currently used diagnostic techniques with a high, however, not perfect diagnostic accuracy regarding the issue of bone injury which is a critical component on the long term outcome after knee injury.",NO,Knee Injury,,"we will refer patients over the age of 18 who had knee trauma, intent to or had MRI assessment and are scheduled for arthroscopy. The compartments of the injured knee will be evaluated on each of the modalities., 6 mounth",,,Tel-Aviv Sourasky Medical Center,,ALL,"ADULT, OLDER_ADULT",,50,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,TASMC-08-EE-118-CTIL,2008-06,2009-03,2009-06,2008-06-02,,2008-06-02,,
NCT00332254,Study to Prevent Cartilage Damage Following Acute Knee Injury.,https://clinicaltrials.gov/study/NCT00332254,,COMPLETED,Individuals who have had a severe knee injury have an increased risk of developing arthritis of the knee and at a much earlier age than would otherwise be expected. The swelling and inflammation that occur after injury are believed to be responsible for this cartilage damage. The cartilage (material that provides a cushion in the knee) is the primary protection from what is called degenerative arthritis or osteoarthritis. We hope to reduce this swelling and prevent the damage to cartilage that occurs after injury by injecting a medication that blocks one of the proteins responsible for inflammation and cartilage breakdown. This protein is called interleukin-1 and can be inhibited by an interleukin-1 receptor antagonist called anakinra. Anakinra will be injected directly into the injured knee and response to the injection will be measured by symptoms and analysis of cartilage breakdown in the knee fluid and blood.,NO,Knee Injury,DRUG: Anakinra,"pain, 4 and 30 days","chondropathy score, 30-60 days",,Duke University,,ALL,ADULT,PHASE1|PHASE2,10,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",Pro00014439|7939-05-11,2006-03,2007-06,2007-06,2006-06-01,,2013-05-30,"Duke University Sports Medicine Clinic, Durham, North Carolina, 27710, United States",
NCT03063814,Effects of App-based Versus Personal On-site Instruction on Neuromuscular Activity in Injury Prevention Exercises,https://clinicaltrials.gov/study/NCT03063814,ACL01,COMPLETED,"Therefore, the aim of the present study was to evaluate neuromuscular characteristics observed during a single bout of selected and validated injury preventive exercises instructed by an app (in accordance with 'Get set - Train smarter') versus gold standard instruction, supervision and feedback provided on-site by an expert. The present evaluation targets a population of female football and handball players without any previous exposure to injury prevention training.",NO,"Musculoskeletal Injury|Injury, Knee",BEHAVIORAL: APP|BEHAVIORAL: PHY,"Normalized hamstring EMG, Normalized to isometric MVC hamstring muscle EMG amplitude recorded during the exercise., 5 minutes after instruction","Normalized quadriceps EMG, Normalized EMG amplitude of the quadriceps muscle recorded during the exercise., 5 minutes after instruction|Joint angle, Joint angle during the exercise, 5 minutes after instruction",,"National Research Centre for the Working Environment, Denmark",Metropolitan University College,FEMALE,"ADULT, OLDER_ADULT",NA,47,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,ACL01,2015-09-01,2016-01-01,2016-01-01,2017-02-24,,2017-02-24,"Hvidovre Hospital, Hivdovre, 2650, Denmark",
NCT06846008,The Effectiveness of a Coach-Focused Intervention on Preventing Knee Injuries in Amateur Football Players,https://clinicaltrials.gov/study/NCT06846008,,COMPLETED,"The goal of this clinical trial is to find out if a coach-focused intervention can help prevent sudden-onset, severe knee injuries in youth and senior amateur football players. The main question it aims to answer is:

Does a coach-focused intervention reduce the number of sudden-onset, severe knee injuries? Researchers will compare a coach-focused intervention, designed to help coaches to use effective injury prevention training, to usual football practice to see if the intervention can prevent sudden-onset, severe knee injuries in football players.

Participants will:

Either receive weekly information and motivation on effective injury prevention training or continue their usual football practice for 14 weeks.

All will receive a weekly text message with a survey link to report any sudden-onset knee injuries among their players for 18 weeks.",NO,Knee Injuries,BEHAVIORAL: Ahead of the Game|OTHER: Usual Practice,"The incidence of acute severe knee injuries in players., The difference in incidence of acute severe knee injuries (\>28 time-loss days from training and matches) per 1000 hours of player exposure in players belonging to coaches in the intervention group compared with players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.","Incidence of acute knee injuries, The difference in incidence of all acute knee injuries (from minimal (1-3 days lost) to severe (\>28 time-loss days from training or match)) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Incidence of acute minimal knee injuries, The difference in incidence of acute minimal knee injuries (1-3 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Incidence of acute mild knee injuries, The difference in incidence of acute mild knee injuries (4-7 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Incidence of acute moderate knee injuries, The difference in incidence of acute moderate knee injuries (8-28 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Time-loss days of acute knee injuries, The difference in burden of all acute knee injuries (the total number of time loss days from minimal (1-3 time-loss days) to severe (\>28 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Time-loss days of acute minimal knee injuries, The difference in burden of acute minimal knee injuries (1-3 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Time-loss days of acute mild knee injuries, The difference in burden of acute mild knee injuries (4-7 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Time-loss days of acute moderate knee injuries, The difference in burden of acute moderate knee injuries (8-28 time-loss days from training or match) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.|Time-loss days of acute severe knee injuries, The difference in burden of acute and severe knee injuries (\> 28 time-loss days from training or matches) per 1000 hours of player exposure in players belonging to coaches in the intervention group versus players belonging to coaches in the control group (usual practice) throughout the intervention period., From baseline to end of the intervention, 14 weeks after baseline.",,Marius Henriksen,University of Copenhagen,ALL,"ADULT, OLDER_ADULT",NA,320,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,APPI2-MSK-2025-KNIPS_2.0,2025-02-23,2025-06-30,2025-06-30,2025-02-25,,2025-08-12,"The Parker Institute, Frederiksberg, 2000, Denmark",
NCT00984594,Evaluation of a Composite Cancellous and Demineralized Bone Plug (CR-Plug) for Repair of Knee Osteochondral Defects,https://clinicaltrials.gov/study/NCT00984594,,TERMINATED,"The objective of this study is to determine how effective a plug made out of human bone (called ""CR-Plug"") will be in the treatment of smaller, focal defects (like the injury the patient has to their knee).",YES,Knee Injury,OTHER: Primary injury site|OTHER: Backfill site,"Knee Injury and Osteoarthritis Outcome Score (KOOS, The outcome at 24 months as measured by the Knee injury and Osteoarthritis Outcome Score (KOOS). Scores are transformed to a 0-100 scale, with zero representing extreme knee problems and 100 representing no knee problems as common in orthopaedic scales and generic measures. Scores between 0 and 100 represent the percentage of total possible score achieved., 24 months","Current Health Assessment (CHA), Evaluation on the Current Health Assessment at 24 months. Scores are transformed to a 0-100 scale, with zero representing a self-graded perception of extremely poor health and 100 representing no health problems. Scores between 0 and 100 represent the percentage of total possible score achieved., 24 months|IKDC Assessment, The International Knee Documentation Committee (IKDC) scores from 24 months are shown. The IKDC is an index score from 0 to 100, with 100 being the best possible score,, 24 months|Magnetic Resonance Imaging (MRI) Results, MRI images were graded by a radiologist with regard to the incorporation of the CR graft in both the cancellous and cortical portions of the bone at the graft site. The raw scores were converted to an index scale form 0 to 100, with 0 representing failure of the graft to incorporate and 100 representing complete incorporation of the graft., 24 months|Lysholm Score at 24 Months, The Lysholm scores from the 24-month exams are shown. The Lysholm score is an indexed score of knee functional ability, with 0 being the worst score and 100 being the best score, indicating no limitations in activity/function., 24 months",,RTI Surgical,,ALL,ADULT,PHASE3,4,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CR2008,2009-01,2012-02,2012-02,2009-09-25,2014-06-04,2014-06-04,"Ellis and Badenhausen Orthopaedics, PSC, Louisville, Kentucky, 40202, United States",
